Timestamp,User Count,Requests/s,Total Average Response Time
2026-03-16T13:37:31Z,2,0.0,184.74
2026-03-16T13:37:36Z,10,0.0,184.74
2026-03-16T13:37:41Z,10,0.0,184.74
2026-03-16T13:37:46Z,10,0.0,5927.96
2026-03-16T13:37:51Z,10,0.0,5927.96
2026-03-16T13:37:56Z,10,0.0,12609.19
2026-03-16T13:38:01Z,10,1.0,11291.0
2026-03-16T13:38:06Z,10,1.0,11291.0
2026-03-16T13:38:11Z,10,1.0,8862.68
2026-03-16T13:38:16Z,10,1.0,8625.59
2026-03-16T13:38:21Z,10,1.0,8625.59
2026-03-16T13:38:26Z,10,0.7,8683.24
2026-03-16T13:38:31Z,15,0.7,8683.24
2026-03-16T13:38:36Z,40,0.1,9613.66
2026-03-16T13:38:41Z,50,0.1,9613.66
2026-03-16T13:38:46Z,50,0.3,10664.43
2026-03-16T13:38:51Z,50,0.3,10664.43
2026-03-16T13:38:56Z,50,0.2,11394.41
2026-03-16T13:39:01Z,50,0.2,11394.41
2026-03-16T13:39:06Z,50,0.1,14653.2
2026-03-16T13:39:11Z,50,0.1,15007.04
2026-03-16T13:39:16Z,50,0.1,15007.04
2026-03-16T13:39:21Z,50,0.5,16656.53
2026-03-16T13:39:26Z,50,0.5,16656.53
2026-03-16T13:39:31Z,100,0.4,16933.21
2026-03-16T13:39:36Z,300,0.4,16933.21
2026-03-16T13:39:41Z,300,0.1,17207.75
2026-03-16T13:39:46Z,300,0.1,17207.75
2026-03-16T13:39:51Z,300,0.1,17207.75
2026-03-16T13:39:56Z,300,0.1,19804.01
2026-03-16T13:40:01Z,300,0.1,19804.01
2026-03-16T13:40:06Z,300,0.8,22032.71
2026-03-16T13:40:11Z,300,0.8,22032.71
2026-03-16T13:40:16Z,300,0.2,25644.69
2026-03-16T13:40:21Z,300,0.2,25644.69
2026-03-16T13:40:26Z,300,0.3,32815.74
