timestamp,model,scenario,run,event_type,from_replicas,to_replicas,lead_time_sec
2026-04-13T00:55:06.808141,ensemble,periodic,3,scale_out,2,4,1.594
2026-04-13T00:55:23.105665,ensemble,periodic,3,scale_out,4,6,3.202
2026-04-13T00:55:35.112743,ensemble,periodic,3,scale_down,6,5,0
2026-04-13T00:55:55.975919,ensemble,periodic,3,scale_out,5,15,4.385
2026-04-13T00:56:10.887606,ensemble,periodic,3,scale_out,15,25,4.348
2026-04-13T00:56:52.508139,ensemble,periodic,3,scale_down,25,7,0
2026-04-13T00:57:20.812810,ensemble,periodic,3,scale_out,7,25,13.732
2026-04-13T00:58:38.518723,ensemble,periodic,3,scale_down,25,9,0
2026-04-13T00:58:53.452772,ensemble,periodic,3,scale_down,9,2,0
2026-04-13T00:59:11.429863,ensemble,periodic,3,scale_out,2,4,2.749
2026-04-13T00:59:28.128368,ensemble,periodic,3,scale_out,4,13,4.325
2026-04-13T00:59:51.279631,ensemble,periodic,3,scale_out,13,25,5.315
2026-04-13T01:00:31.276676,ensemble,periodic,3,scale_down,25,12,0
2026-04-13T01:00:48.404231,ensemble,periodic,3,scale_out,12,25,8.655
2026-04-13T01:00:55.673654,ensemble,periodic,3,scale_down,25,3,0
2026-04-13T01:01:15.277962,ensemble,periodic,3,scale_out,3,12,4.645
2026-04-13T01:01:31.782930,ensemble,periodic,3,scale_out,12,25,5.971
2026-04-13T01:02:11.385383,ensemble,periodic,3,scale_down,25,13,0
2026-04-13T01:02:34.278324,ensemble,periodic,3,scale_out,13,25,7.648
2026-04-13T01:02:41.314493,ensemble,periodic,3,scale_down,25,1,0
2026-04-13T01:02:59.427312,ensemble,periodic,3,scale_out,1,3,1.641
2026-04-13T01:03:13.032631,ensemble,periodic,3,scale_down,3,2,0
