timestamp,model,scenario,run,event_type,from_replicas,to_replicas,lead_time_sec
2026-04-13T01:16:56.299369,lstm,periodic,2,scale_out,2,5,1.637
2026-04-13T01:17:24.832469,lstm,periodic,2,scale_down,5,4,0
2026-04-13T01:17:47.557419,lstm,periodic,2,scale_out,4,25,7.286
2026-04-13T01:18:40.962805,lstm,periodic,2,scale_down,25,4,0
2026-04-13T01:18:56.240934,lstm,periodic,2,scale_down,4,3,0
2026-04-13T01:19:24.823011,lstm,periodic,2,scale_out,3,25,13.643
2026-04-13T01:20:27.260939,lstm,periodic,2,scale_down,25,5,0
2026-04-13T01:20:42.316932,lstm,periodic,2,scale_down,5,2,0
2026-04-13T01:21:00.208500,lstm,periodic,2,scale_out,2,8,3.473
2026-04-13T01:21:19.861974,lstm,periodic,2,scale_out,8,25,7.805
2026-04-13T01:21:57.378568,lstm,periodic,2,scale_down,25,16,0
2026-04-13T01:22:21.418180,lstm,periodic,2,scale_out,16,25,9.147
2026-04-13T01:22:43.586039,lstm,periodic,2,scale_down,25,7,0
2026-04-13T01:23:06.912863,lstm,periodic,2,scale_out,7,25,7.376
2026-04-13T01:23:59.739496,lstm,periodic,2,scale_down,25,10,0
2026-04-13T01:24:26.588172,lstm,periodic,2,scale_out,10,25,11.957
2026-04-13T01:24:31.030068,lstm,periodic,2,scale_down,25,3,0
2026-04-13T01:25:01.207804,lstm,periodic,2,scale_down,3,2,0
