timestamp,model,scenario,run,event_type,from_replicas,to_replicas,lead_time_sec
2026-04-09T21:15:51.384226,ensemble,spike,2,scale_down,2,1,0
2026-04-09T21:16:08.089988,ensemble,spike,2,scale_out,1,2,3.104
2026-04-09T21:16:23.798458,ensemble,spike,2,scale_out,2,5,1.562
2026-04-09T21:16:42.728107,ensemble,spike,2,scale_out,5,25,6.524
2026-04-09T21:16:52.652653,ensemble,spike,2,scale_down,25,7,0
2026-04-09T21:17:13.064891,ensemble,spike,2,scale_out,7,17,6.729
2026-04-09T21:17:25.228415,ensemble,spike,2,scale_out,17,25,2.309
2026-04-09T21:17:37.994118,ensemble,spike,2,scale_down,25,17,0
2026-04-09T21:18:16.329067,ensemble,spike,2,scale_out,17,25,8.178
2026-04-09T21:20:09.550176,ensemble,spike,2,scale_down,25,15,0
2026-04-09T21:21:03.248083,ensemble,spike,2,scale_out,15,25,8.682
2026-04-09T21:21:24.595790,ensemble,spike,2,scale_down,25,5,0
2026-04-09T21:21:49.671553,ensemble,spike,2,scale_out,5,25,9.460
2026-04-09T21:21:53.497298,ensemble,spike,2,scale_down,25,1,0
2026-04-09T21:22:12.401833,ensemble,spike,2,scale_out,1,3,1.667
2026-04-09T21:22:40.418663,ensemble,spike,2,scale_down,3,2,0
