Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775740134,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775740135,10,,Aggregated,0.000000,0.000000,420,430,430,450,510,530,530,530,530,530,530,17,0,420.0,351.83820294107994,206.22766999986197,525.9112100002312,4515.0
1775740136,20,,Aggregated,0.000000,0.000000,230,420,430,440,450,510,510,530,530,530,530,54,0,230.0,309.08402555557285,202.6018500000646,525.9112100002312,4515.0
1775740137,30,,Aggregated,16.000000,0.000000,230,250,420,430,440,450,510,510,530,530,530,106,0,230.0,288.4794757547529,202.6018500000646,525.9112100002312,4515.0
1775740138,40,,Aggregated,25.500000,0.000000,230,230,280,420,440,450,510,510,530,530,530,178,0,230.0,275.75096320227334,202.6018500000646,525.9112100002312,4515.0
1775740139,50,,Aggregated,34.666667,0.000000,230,240,280,330,440,450,540,660,680,680,680,268,0,230.0,276.99530518658423,202.6018500000646,683.1061599996247,4515.0
1775740140,50,,Aggregated,43.750000,0.000000,230,240,260,280,430,440,510,640,680,680,680,363,0,230.0,266.08828130581486,202.6018500000646,683.1061599996247,4515.0
1775740141,50,,Aggregated,52.200000,0.000000,230,240,250,260,420,440,510,570,680,680,680,448,0,230.0,259.84658307815164,202.6018500000646,683.1061599996247,4515.0
1775740142,50,,Aggregated,59.333333,0.000000,230,240,250,260,320,430,500,540,680,680,680,542,0,230.0,256.2392520276899,202.6018500000646,683.1061599996247,4515.0
1775740143,50,,Aggregated,63.714286,0.000000,230,240,250,270,320,430,480,530,680,680,680,632,0,230.0,256.16119944463276,202.6018500000646,683.1061599996247,4515.0
1775740144,50,,Aggregated,67.250000,0.000000,230,240,250,270,320,430,450,510,680,680,680,717,0,230.0,255.2558776583084,202.6018500000646,683.1061599996247,4515.0
1775740145,50,,Aggregated,69.888889,0.000000,230,240,260,280,370,440,480,510,680,680,680,805,0,230.0,262.4702399043597,202.6018500000646,683.1061599996247,4515.0
1775740146,50,,Aggregated,71.500000,0.000000,230,250,270,290,360,440,480,510,680,680,680,888,0,230.0,263.1787748097001,202.6018500000646,683.1061599996247,4515.0
1775740147,50,,Aggregated,78.200000,0.000000,230,250,270,280,340,440,480,510,680,680,680,977,0,230.0,262.30185192836274,202.6018500000646,683.1061599996247,4515.0
1775740145,50,,Aggregated,69.888889,0.000000,230,250,270,290,330,440,470,510,680,680,680,1070,0,230.0,262.6026392981377,202.6018500000646,683.1061599996247,4515.0
1775740146,50,,Aggregated,71.500000,0.000000,240,250,280,290,330,430,470,510,680,680,680,1157,0,240.0,263.21027488937034,202.6018500000646,683.1061599996247,4515.0
1775740147,50,,Aggregated,80.800000,0.000000,240,260,280,300,350,440,470,500,680,680,680,1238,0,240.0,266.568916763328,202.6018500000646,683.1061599996247,4515.0
1775740148,50,,Aggregated,94.900000,0.000000,240,260,280,300,350,430,470,500,680,680,680,1324,0,240.0,267.10952782251087,202.6018500000646,683.1061599996247,4515.0
1775740149,50,,Aggregated,106.500000,0.000000,240,260,280,300,350,430,470,500,680,680,680,1409,0,240.0,266.8296784421601,202.6018500000646,683.1061599996247,4515.0
1775740150,50,,Aggregated,112.300000,0.000000,240,260,290,300,360,430,470,490,680,680,680,1502,0,240.0,268.10841669307786,202.6018500000646,683.1061599996247,4515.0
1775740151,50,,Aggregated,112.600000,0.000000,240,260,280,300,350,430,470,490,680,680,680,1585,0,240.0,266.51631125552274,202.6018500000646,683.1061599996247,4515.0
1775740152,50,,Aggregated,110.900000,0.000000,240,260,280,290,350,430,460,490,680,680,680,1681,0,240.0,265.0829674342684,202.6018500000646,683.1061599996247,4515.0
1775740153,50,,Aggregated,110.900000,0.000000,240,260,280,290,340,430,460,490,680,680,680,1771,0,240.0,264.40804407679576,202.6018500000646,683.1061599996247,4515.0
1775740154,50,,Aggregated,111.200000,0.000000,240,250,280,290,340,420,450,490,680,680,680,1866,0,240.0,262.80487664898715,202.6018500000646,683.1061599996247,4515.0
1775740155,50,,Aggregated,111.000000,0.000000,240,250,270,290,330,420,450,480,680,680,680,1961,0,240.0,261.56821782101537,202.6018500000646,683.1061599996247,4515.0
1775740156,50,,Aggregated,111.700000,0.000000,240,250,270,290,330,410,450,480,660,680,680,2050,0,240.0,260.7365963126909,202.6018500000646,683.1061599996247,4515.0
1775740157,50,,Aggregated,110.300000,0.000000,240,250,270,290,330,410,450,480,660,680,680,2139,0,240.0,260.83129727490154,202.6018500000646,683.1061599996247,4515.0
1775740158,50,,Aggregated,102.400000,0.000000,230,250,270,290,330,410,450,480,660,680,680,2230,0,230.0,259.8910259242228,202.6018500000646,683.1061599996247,4515.0
1775740159,50,,Aggregated,94.000000,0.000000,230,250,270,280,330,400,450,480,660,680,680,2319,0,230.0,259.0212781030704,202.6018500000646,683.1061599996247,4515.0
1775740160,50,,Aggregated,89.600000,0.000000,230,250,270,280,320,400,450,480,660,680,680,2417,0,230.0,258.263122495251,202.6018500000646,683.1061599996247,4515.0
1775740161,50,,Aggregated,90.700000,0.000000,230,250,270,280,320,390,450,470,660,680,680,2505,0,230.0,257.60086813214616,202.6018500000646,683.1061599996247,4515.0
1775740162,70,,Aggregated,91.500000,0.000000,230,250,270,280,320,400,450,480,660,680,680,2632,13,230.0,258.2102091873208,202.6018500000646,683.1061599996247,4492.699468085107
1775740163,90,,Aggregated,92.200000,0.000000,230,250,270,280,330,420,460,490,680,1400,1400,2786,13,230.0,260.1487579867281,202.6018500000646,1444.7279000005437,4493.93216080402
1775740164,110,,Aggregated,93.500000,1.200000,230,250,270,280,330,420,460,490,680,1400,1400,2982,13,230.0,260.7731169688215,202.6018500000646,1444.7279000005437,4495.316901408451
1775740165,130,,Aggregated,98.600000,1.300000,230,250,270,290,340,430,460,500,680,1400,1400,3190,13,230.0,263.11045377775,198.8322600000174,1444.7279000005437,4496.600313479624
1775740166,150,,Aggregated,107.400000,1.300000,230,250,280,290,360,430,470,510,890,1400,1400,3438,13,230.0,265.68283188220596,198.8322600000174,1444.7279000005437,4497.92757417103
1775740167,150,,Aggregated,118.100000,1.300000,230,250,280,290,380,440,510,560,890,1400,1400,3687,13,230.0,268.4605277030187,198.8322600000174,1444.7279000005437,4499.080553295362
1775740168,150,,Aggregated,131.800000,1.300000,230,250,280,290,400,460,560,620,890,1400,1400,3920,13,230.0,271.6271728599553,198.8322600000174,1444.7279000005437,4500.026785714285
1775740169,150,,Aggregated,148.000000,1.300000,230,250,270,290,410,480,590,680,890,1400,1400,4149,13,230.0,274.322146025799,198.8322600000174,1444.7279000005437,4500.853217642805
1775740170,150,,Aggregated,163.400000,1.300000,230,250,280,300,420,500,640,780,890,1400,1400,4407,13,230.0,278.0533811620253,198.8322600000174,1444.7279000005437,4501.6814159292035
1775740171,150,,Aggregated,175.800000,1.300000,230,250,280,300,430,500,630,740,890,1400,1400,4654,13,230.0,279.11721953395755,198.8322600000174,1444.7279000005437,4502.388268156425
