Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776357197,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776357198,40,,Aggregated,0.000000,0.000000,510,520,530,540,620,630,630,640,640,640,640,56,0,500.0,433.25638194646996,197.4719499994535,642.2657700004493,4515.0
1776357199,80,,Aggregated,0.000000,0.000000,370,500,520,530,620,630,700,730,1100,1100,1100,178,0,370.0,392.20364638205257,197.4719499994535,1067.2405470004378,4515.0
1776357200,120,,Aggregated,0.000000,0.000000,360,500,530,600,680,720,790,880,1100,1100,1100,327,0,360.0,411.32121228746416,197.4719499994535,1067.2405470004378,4515.0
1776357201,160,,Aggregated,32.500000,0.000000,420,470,510,530,620,700,780,870,1100,1100,1100,482,0,420.0,418.128005904572,197.4719499994535,1067.2405470004378,4515.0
1776357202,200,,Aggregated,63.333333,0.000000,470,570,680,730,810,1200,1300,1400,1500,1500,1500,637,0,470.0,530.8721440894873,197.4719499994535,1513.536982000005,4515.0
1776357203,240,,Aggregated,89.250000,0.000000,550,700,760,780,880,1400,1600,1600,1700,1700,1700,824,0,550.0,613.812455695402,197.4719499994535,1699.998449999839,4515.0
1776357204,280,,Aggregated,101.200000,0.000000,640,750,810,850,1200,1600,1600,1900,2000,2000,2000,994,0,640.0,673.8136203179133,197.4719499994535,1993.0994160004047,4515.0
1776357205,308,,Aggregated,109.666667,0.000000,690,810,910,1100,1300,1600,1900,2000,2100,2100,2100,1129,0,690.0,749.3580050274644,197.4719499994535,2142.2056459996384,4515.0
1776357206,308,,Aggregated,121.571429,0.000000,750,910,1200,1300,1500,1700,2800,2800,3000,3000,3000,1291,0,750.0,869.4105838017134,197.4719499994535,2954.9350570005117,4515.0
1776357207,308,,Aggregated,126.250000,0.000000,800,1200,1400,1400,1600,2000,2800,2900,3000,3000,3000,1459,0,800.0,958.9542947669664,197.4719499994535,3022.0246550006777,4515.0
