Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776918363,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776918364,10,,Aggregated,0.000000,0.000000,410,430,430,520,530,540,540,540,540,540,540,17,0,410.0,353.8068551765986,192.2210970001288,537.6594480003405,4515.0
1776918365,20,,Aggregated,0.000000,0.000000,220,400,420,460,500,520,530,540,540,540,540,54,0,220.0,302.8407112037375,189.53370100007305,537.6594480003405,4515.0
1776918366,30,,Aggregated,15.000000,0.000000,220,230,400,410,460,500,530,540,680,680,680,111,0,220.0,277.9595099099105,189.53370100007305,679.3849249997947,4515.0
1776918367,30,,Aggregated,24.500000,0.000000,220,220,220,260,420,480,520,540,680,680,680,165,0,220.0,257.05190552727913,189.53370100007305,679.3849249997947,4515.0
1776918368,30,,Aggregated,34.666667,0.000000,220,220,220,230,410,460,520,530,680,680,680,226,0,220.0,245.90246306637218,189.53370100007305,679.3849249997947,4515.0
1776918369,30,,Aggregated,39.250000,0.000000,220,220,220,220,400,420,500,530,680,680,680,288,0,220.0,240.4443254930647,189.53370100007305,679.3849249997947,4515.0
1776918370,30,,Aggregated,44.200000,0.000000,220,220,220,220,270,420,500,520,680,680,680,345,0,220.0,236.69221082319126,189.53370100007305,679.3849249997947,4515.0
1776918371,30,,Aggregated,47.000000,0.000000,220,220,220,220,240,420,480,520,680,680,680,403,0,220.0,233.8602857543463,189.53370100007305,679.3849249997947,4515.0
1776918372,30,,Aggregated,48.571429,0.000000,220,220,220,220,230,410,470,520,680,680,680,462,0,220.0,231.86803986363714,189.53370100007305,679.3849249997947,4515.0
1776918373,30,,Aggregated,49.875000,0.000000,220,220,220,220,230,410,460,500,680,680,680,522,0,220.0,230.90225344252966,189.53370100007305,679.3849249997947,4515.0
1776918374,30,,Aggregated,50.777778,0.000000,220,220,220,230,250,400,460,500,680,680,680,578,0,220.0,232.09586950172763,189.53370100007305,679.3849249997947,4515.0
1776918373,30,,Aggregated,49.875000,0.000000,220,220,220,230,240,400,450,500,680,680,680,638,0,220.0,230.56931807053084,189.53370100007305,679.3849249997947,4515.0
1776918374,30,,Aggregated,50.777778,0.000000,220,220,220,230,240,330,430,500,680,680,680,697,0,220.0,229.85523431994332,189.53370100007305,679.3849249997947,4515.0
1776918375,30,,Aggregated,51.400000,0.000000,220,220,220,230,250,400,460,490,680,680,680,750,4,220.0,232.0351209013344,28.99173600007998,679.3849249997947,4490.92
1776918376,30,,Aggregated,59.100000,0.000000,220,220,220,230,260,410,460,500,680,680,680,804,4,220.0,233.9020190012453,28.99173600007998,679.3849249997947,4492.537313432836
1776918377,30,,Aggregated,64.800000,0.000000,220,220,230,230,270,400,450,500,680,680,680,856,4,220.0,234.72589015420718,28.99173600007998,679.3849249997947,4493.901869158878
