timestamp,model,scenario,run,event_type,from_replicas,to_replicas,lead_time_sec
2026-04-23T22:41:07.830815,ensemble,ramp,2,scale_down,2,1,0
2026-04-23T22:41:37.979578,ensemble,ramp,2,scale_out,1,3,10.449
2026-04-23T22:41:49.732344,ensemble,ramp,2,scale_out,3,4,2.998
2026-04-23T22:41:56.583855,ensemble,ramp,2,scale_out,4,6,2.181
2026-04-23T22:42:13.337447,ensemble,ramp,2,scale_out,6,16,4.068
2026-04-23T22:42:27.028590,ensemble,ramp,2,scale_out,16,18,1.947
2026-04-23T22:42:41.593271,ensemble,ramp,2,scale_out,18,20,2.070
2026-04-23T22:43:11.831109,ensemble,ramp,2,scale_down,20,12,0
2026-04-23T22:43:28.824067,ensemble,ramp,2,scale_out,12,14,2.454
2026-04-23T22:43:42.824361,ensemble,ramp,2,scale_out,14,16,2.014
2026-04-23T22:43:59.370127,ensemble,ramp,2,scale_out,16,25,2.374
2026-04-23T22:48:12.345024,ensemble,ramp,2,scale_down,25,16,0
2026-04-23T22:48:33.005640,ensemble,ramp,2,scale_out,16,25,3.978
