timestamp,model,scenario,run,event_type,from_replicas,to_replicas,lead_time_sec
2026-09-25T23:45:01.669654,ensemble,periodic,2,scale_down,2,1,0
2026-09-25T23:45:23.791165,ensemble,periodic,2,scale_out,1,25,5.990
2026-09-25T23:45:32.107739,ensemble,periodic,2,scale_down,25,4,0
2026-09-25T23:46:05.462518,ensemble,periodic,2,scale_out,4,13,2.905
2026-09-25T23:46:21.967289,ensemble,periodic,2,scale_out,13,25,3.054
2026-09-25T23:46:49.564907,ensemble,periodic,2,scale_down,25,16,0
2026-09-25T23:47:33.827155,ensemble,periodic,2,scale_down,16,6,0
2026-09-25T23:47:55.694981,ensemble,periodic,2,scale_out,6,25,5.374
2026-09-25T23:49:05.169402,ensemble,periodic,2,scale_down,25,2,0
2026-09-25T23:49:23.447071,ensemble,periodic,2,scale_out,2,4,1.518
2026-09-25T23:49:40.558726,ensemble,periodic,2,scale_out,4,25,4.646
2026-09-25T23:50:36.411461,ensemble,periodic,2,scale_down,25,12,0
2026-09-25T23:50:53.317975,ensemble,periodic,2,scale_down,12,4,0
2026-09-25T23:51:06.908529,ensemble,periodic,2,scale_down,4,3,0
2026-09-25T23:51:29.152010,ensemble,periodic,2,scale_out,3,25,5.517
2026-09-25T23:52:24.718139,ensemble,periodic,2,scale_down,25,15,0
2026-09-25T23:52:43.128599,ensemble,periodic,2,scale_out,15,25,4.774
2026-09-25T23:53:09.170873,ensemble,periodic,2,scale_down,25,1,0
